# Transcripción: chunk_016.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  Structured query language.
[0:00:01]  And this is a language that, rest assured, is actually much smaller,
[0:00:05]  relatively speaking, than C and Python.
[0:00:07]  It sort of does less, but it does it really well.
[0:00:10]  And it's a language for querying databases, storing data in it,
[0:00:13]  updating it, inserting it, deleting it, and so much more.
[0:00:16]  And it's the kind of technology that's used nowadays in, indeed,
[0:00:19]  web apps and mobile apps, data science, analytics, and so much more.
[0:00:23]  It's really good at storing lots and lots of data.
[0:00:26]  Now, this is yet another language.
[0:00:27]  And believe it or not, next week, we'll introduce you to three more languages,
[0:00:32]  HTML and CSS, which are not technically programming languages.
[0:00:35]  They're all about aesthetics and markup of information,
[0:00:38]  but also JavaScript, which is, in fact, a programming language.
[0:00:41]  But the goals here in CS50 really are going
[0:00:44]  to be to empower you to program more generally.
[0:00:46]  And indeed, when you're out there in the real world some years from now,
[0:00:48]  invariably, there's going to be some new other popular language out there.
[0:00:52]  And hopefully, in this week and next week and beyond, among the goals
[0:00:56]  is not just to teach you these languages specifically, but again,
[0:00:59]  how to teach yourself the future languages
[0:01:01]  that we've not even heard about just yet.
[0:01:02]  So with that said, let's begin with a survey of sorts.
[0:01:06]  If you go to this URL on your phone or laptop, cs50.ly slash favorites,
[0:01:12]  a very simple Google form awaits you that's just going to ask you
[0:01:16]  a couple of multiple choice questions.
[0:01:19]  So go to cs50.ly slash favorites.
[0:01:24]  And that should lead you to a Google form
[0:01:27]  that looks a little something like this, asking you first,
[0:01:30]  as of now in week seven, what is your favorite language
[0:01:33]  among those options here?
[0:01:34]  And then further down, one more question.
[0:01:36]  If you think back on problem sets 0 through 6, what was, if any,
[0:01:41]  your favorite problem set problem, be it in Scratch or C or Python?
[0:01:47]  So answer those two questions.
[0:01:51]  And in a moment, I'll flip over to my screen
[0:01:53]  here, where you'll see, and anyone who's used Google Forms
[0:01:57]  knows, the spreadsheet that's collecting now this data.
[0:02:00]  Microsoft Office 365 can do the same if you use one of those forms.
[0:02:03]  And what you see here now is a spreadsheet in Google Sheets
[0:02:06]  enumerating all of the audience's questions.
[0:02:09]  Language is in column B. Problem is in column C.
[0:02:12]  And each row represents one student who has responded.
[0:02:15]  A few of you were super eager for class today at 8.33 AM Eastern time, 10.32,
[0:02:20]  11.10.
[0:02:21]  OK, so now we're getting into the actual class time here.
[0:02:24]  And if I scroll down, we'll probably see a few dozen,
[0:02:27]  couple hundred answers by now.
[0:02:29]  And yeah, so we're getting a whole lot of answers here.
[0:02:31]  And I'm seeing some patterns emerge.
[0:02:33]  But it's not necessarily obvious to dehumanize what those patterns are.
[0:02:36]  Now, of course, you can use Google Spreadsheets.
[0:02:38]  You can highlight the data.
[0:02:40]  And you can create charts magically out of it.
[0:02:42]  But you can only do what Google lets you do with the data.
[0:02:45]  And same thing for Microsoft Excel or Apple Numbers.
[0:02:47]  But wouldn't it be nice to just be able to manipulate
[0:02:49]  the raw data, relatively simple though it is,
[0:02:52]  to just answer questions about the data?
[0:02:54]  Maybe long term create your own charts.
[0:02:55]  Customize it just the way you want, rather than be holding to software
[0:02:59]  that's off the shelf like this.
[0:03:01]  Well, how could we go about doing this?
[0:03:04]  Well, let me propose that we treat this data set now as what
[0:03:08]  we're going to call, for now, a flat file database.
[0:03:11]  We'll see today that there's fancier databases.
[0:03:13]  But the simplest database in the world is really just like a .csv file.
[0:03:17]  We saw that a couple of weeks ago in C. We
[0:03:20]  wrote a bit of C code that used fprintf to write data to a file using
[0:03:24]  commas as the separator.
[0:03:26]  We didn't really do much more with CSVs at the time, though,
[0:03:28]  because it's really annoying, painful, time consuming,
[0:03:31]  not fun to use C for something like that because of malloc and memory
[0:03:34]  and all that stuff.
[0:03:35]  But with Python, it's going to be much easier.
[0:03:37]  And so any time you have access to some data set
[0:03:40]  where you can just download it to your own Mac or PC or your cloud
[0:03:44]  it's sort of a candidate for now writing code to do something with the data.
[0:03:48]  Maybe analyze it right away.
[0:03:50]  If it's been human imported manually, maybe you
[0:03:52]  have to clean it up by doing a lot of find and replace,
[0:03:55]  but not with your keyboard, but rather with code.
[0:03:57]  And so let me go ahead and do this.
[0:03:58]  Let me go back to my Google Sheet here that has all of the data that's
[0:04:03]  come in now.
[0:04:04]  And let me go ahead and download this via the File menu here.
[0:04:10]  And let's see.
[0:04:12]  Download.
[0:04:12]  And you can see a whole bunch of options.
[0:04:14]  If most formats might be familiar, but today we'll
[0:04:16]  focus just on this one, comma, separated values, or CSV.
[0:04:19]  That's going to go ahead and download it on my Mac
[0:04:21]  here into my own downloads folder.
[0:04:23]  And now I'm going to go ahead and do this.
[0:04:25]  Let me go ahead and pull up VS code in the cloud here.
[0:04:27]  And if you've never done this before, there's a couple of ways to do it.
[0:04:30]  But the simplest way to upload a file to your code space, so to speak,
[0:04:33]  is just to sort of drag and drop.
[0:04:35]  That's going to magically upload it to the server there.
[0:04:38]  And we'll see that, one, it has a very long file name, which I'm actually
[0:04:42]  going to clean this up because that's going to be very tedious to type in my code.
[0:04:46]  So I could either right click, of course, up here.
[0:04:49]  But I'm going to use my Linux command.
[0:04:50]  So let's move this file called cs50-2022-something-or-other.
[0:04:54]  And let's just name it more simply favorites.csv.
[0:04:57]  So all lowercase, no spaces, sort of good basics.
[0:05:01]  And let me go ahead now and open up this file with code favorites.csv.
[0:05:05]  I'll close my file explorer.
[0:05:07]  And we'll see exactly the same data as before, but not quite as pretty
[0:05:11]  as Google Sheets makes it be.
[0:05:12]  Rather, we see here that I still have three columns, timestamp, language,
[0:05:16]  problem, and then all of the values down below,
[0:05:18]  including the timestamps and the answers therefor.
[0:05:20]  But it doesn't have proper columns.
[0:05:22]  It just has commas separating them.
[0:05:24]  Now, we could very easily write Python code,
[0:05:27]  just like we wrote C code, to manipulate files like this,
[0:05:31]  either to write or read.
[0:05:32]  But instead, let's do something that's a little more pleasant,
[0:05:35]  which is indeed in the form of Python.
[0:05:37]  So Python actually comes with native support for CSVs.
[0:05:40]  It has, indeed, a package called CSV that just lets you read and write
[0:05:44]  and do a whole bunch of useful stuff when it comes to CSV files.
[0:05:47]  So let's go ahead and do something with this file.
[0:05:49]  Let me go back here to VS Code.
[0:05:51]  I'm going to close favorites.csv for now.
[0:05:54]  But just remember in your mind that timestamp was the first column,
[0:05:57]  language was the second column, and problem was the third.
[0:06:01]  And notice, because we're using commas, they don't, again, line up perfectly.
[0:06:04]  But that's not a problem.
[0:06:05]  There are two commas in every line, presumably.
