# Transcripción: chunk_024.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  The others, 5,000.
[0:00:03]  Now we're starting to see some spread.
[0:00:05]  So we only have six guests in contention for first place.
[0:00:09]  And the next question now is six.
[0:00:11]  What is the function used to open a file in C?
[0:00:15]  F open, open, file open, file.
[0:00:21]  What is the function used to open a file in C?
[0:00:27]  Seven seconds.
[0:00:31]  There's some differences between C and Python here.
[0:00:34]  And the reveal, it is indeed F open.
[0:00:38]  It's 77% correct, too.
[0:00:40]  All right, let's see the rankings now.
[0:00:42]  If you are guest 15, 97, 15, 6, 1, 7, 1, 3, 7, 5, 3, or 3, 2, 7, 3,
[0:00:48]  you're now in the lead as we move on to question seven.
[0:00:52]  How does Stirling compute the average, sorry,
[0:00:55]  how does Stirling compute the length of a string in C?
[0:00:58]  It looks at how much memory the string uses.
[0:01:00]  It counts the number of characters until it reaches backslash 0.
[0:01:03]  It counts the number of bits in the string,
[0:01:05]  or it creates pointers for each character and counts them.
[0:01:09]  10 seconds.
[0:01:11]  Stirling in C. Recall that we implemented this ourselves in class,
[0:01:17]  but then we used the library thereafter.
[0:01:19]  And indeed, with 85%, it simply counts the number of characters
[0:01:23]  until it reaches that sentinel backslash 0, AKA null.
[0:01:27]  And in this case, we have 5, 4, 4 of you tied now for first.
[0:01:35]  All right, question eight.
[0:01:36]  Where does malloc allocate memory from?
[0:01:40]  The stack, the heap, the pointers, or the temp?
[0:01:45]  Where does malloc allocate memory from?
[0:01:50]  Responses are coming in.
[0:01:51]  Eight seconds.
[0:01:55]  Good review question at that.
[0:01:58]  In two seconds, we'll see that malloc allocates memory from, woo, close one.
[0:02:02]  The heap is correct.
[0:02:04]  The heap is correct.
[0:02:05]  The stack, recall, is where functions store their local variables
[0:02:08]  and their arguments, and that just happens automatically.
[0:02:11]  The heap represented in our pictures up top is where malloc draws from.
[0:02:15]  Now we have guest 15 has made its way to the top here,
[0:02:23]  but others can catch up if they don't buzz in fast enough.
[0:02:25]  So number nine.
[0:02:27]  How many people flew from 50ville to New York on the day of the crime?
[0:02:33]  16, 29, 8, or 3?
[0:02:40]  Anyone with a laptop perhaps has an advantage here?
[0:02:48]  Five seconds.
[0:02:51]  And the answers are, but the answer is 16.
[0:02:58]  Let's see if guest 15 got this.
[0:03:01]  They did not.
[0:03:03]  Goodbye to guest 15 at the top.
[0:03:05]  All right, question 10.
[0:03:07]  We're about halfway there.
[0:03:08]  What are meta tags used for in HTML?
[0:03:13]  To describe a web page, to define parameters for an element,
[0:03:16]  to group elements together, to translate content
[0:03:18]  into machine readable format.
[0:03:21]  What are meta tags used for in HTML?
[0:03:24]  We saw a few of them for different use cases.
[0:03:31]  And with one second, we see that indeed the number one answer
[0:03:36]  was to describe the web page, be it for a mobile device,
[0:03:39]  be it for screen scrapers like Facebook and Twitter
[0:03:42]  and other such apps that grab images and descriptions thereof.
[0:03:45]  All right, we're in the second half now.
[0:03:47]  Guest 4, 6, 6, 9 has edged ahead.
[0:03:52]  Guest 15 is now in sixth place.
[0:03:54]  All right, number 11 is, how do you find the address of a variable in C?
[0:03:59]  Think back a few weeks.
[0:04:00]  Star, dollar sign, ampersand, or ask from one of your own classmates.
[0:04:10]  How do you find the address of a variable in C?
[0:04:19]  And the number one answer is ampersand, which is indeed
[0:04:22]  the address of operator at 62%.
[0:04:25]  Nicely done.
[0:04:26]  Let's see who's atop the list now.
[0:04:28]  Guest 4, 6, 6, 9 has retained their lead.
[0:04:31]  So we move on to 12.
[0:04:32]  What does the arrow operator mean in C?
[0:04:36]  A hyphen and a greater than sign.
[0:04:38]  Nothing?
[0:04:39]  Starts a comment, replaces a star and dot operator, declares a pointer.
[0:04:46]  What does this arrow operator mean in C?
[0:04:51]  Again from a few weeks back.
[0:04:53]  Three seconds.
[0:04:55]  Harder assortment, perhaps.
[0:04:57]  And it's, oh, replaces a star and dot operator.
[0:05:02]  The number two answer was indeed correct.
[0:05:04]  This was just a cleaner way, syntactic sugar,
[0:05:07]  for collapsing what would be a star and then some parentheses and then
[0:05:10]  a dot into quite simply something that looks like an arrow itself.
[0:05:13]  All right, Carter, who's in the lead now?
[0:05:16]  Still that same guest.
[0:05:18]  And let's see what 13 has for us.
[0:05:20]  Which of these is not a data type in SQLite?
[0:05:24]  Blob, string, integer, text.
[0:05:32]  We used a few of these more commonly than others.
[0:05:35]  But not all of these are for real.
[0:05:39]  Five seconds to make your decision.
[0:05:43]  And the results are blob is a thing, string is not.
[0:05:48]  In SQLite, it's, of course, called text, as we've seen it.
[0:05:52]  Blob, as goofy as it sounds, is just binary large object.
[0:05:56]  But indeed, it's how you might store a binary file in your database.
[0:06:00]  All right, the rankings now.
[0:06:02]  Oh, guest 8444 has eked ahead.
[0:06:06]  So we move on to 14.
[0:06:08]  Which of the following is a valid way to print exclamation point,
[0:06:11]  exclamation point, exclamation point, exclamation point in Python?
[0:06:16]  And I'll let you read these yourselves, which is a valid way.
[0:06:23]  Everyone got quiet in his thinking.
[0:06:28]  All right, six seconds.
[0:06:31]  A few hundred responses in so far.
[0:06:35]  All right, and yes, nicely done.
